имя;имя1;имя2;имя3
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
7770000000;Картаключ;6;2.54
